id,cve_id,description,published_at,part,last_modified_at,updated_at,cvss_version,cvss_exploitability_score,cvss_impact_score,cvss_vector_string,cvss_attack_vector,cvss_attack_complexity,cvss_privileges_required,cvss_user_interaction,cvss_scope,cvss_confidentiality_impact,cvss_integrity_impact,cvss_availability_impact,cvss_base_score,cvss_base_severity,has_cwe,project,source,release,release_requirements,inherited_from,technical_lag,applicability,cwe_id,kind,name,abstraction,structure,status,summary,background_details,likelihood_of_exploit,detection_methods,consequences,cves,start_to_patched,start_to_published,published_to_patched,patched_date,version_end,exclude_version_end
62392,CVE-2021-33430,"A Buffer Overflow vulnerability exists in NumPy 1.9.x in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service. NOTE: The vendor does not agree this is a vulneraility; In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user",2021-12-17 19:15:00,,2023-11-07 03:35:00,2024-03-19 15:26:13.642755,3.1,1.6,3.6,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H,NETWORK,HIGH,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.3,MEDIUM,True,numpy,Direct,numpy,,,False,"[1.9.0,1.9.3]",CWE-120,weakness,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Base,Simple,Incomplete,,,High,Automated Dynamic Analysis (DM-2); Automated Static Analysis (DM-1); Manual Analysis (DM-9),"Modify Memory-DoS: Crash, Exit, or Restart-DoS: Resource Consumption (CPU) (A.); Modify Memory-Execute Unauthorized Code or Commands (C.I.A.)","['CVE-2021-33430', 'CVE-2021-41496']",386.0,2658,-2272.0,2015-09-29 05:15:21,1.9.3,False
62869,CVE-2021-34141,"An incomplete string comparison in the numpy.core component in NumPy before 1.22.0 allows attackers to trigger slightly incorrect copying by constructing specific string objects. NOTE: the vendor states that this reported code behavior is ""completely harmless.""",2021-12-17 19:15:00,,2023-02-24 15:35:00,2024-03-19 15:26:25.159178,3.1,3.9,1.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,LOW,5.3,MEDIUM,True,numpy,Direct,numpy,,,False,"[1.0,1.22.0)",CWE-697,weakness,Incorrect Comparison,Pillar,Simple,Incomplete,,,,,Varies by Context (.),['CVE-2021-34141'],5508.0,5494,14.0,2021-12-31 20:39:25,1.22.0,True
68398,CVE-2021-41495,"Null Pointer Dereference vulnerability exists in numpy.sort in NumPy &lt and 1.19 in the PyArray_DescrNew function due to missing return-value validation, which allows attackers to conduct DoS attacks by repetitively creating sort arrays. NOTE: While correct that validation is missing, an error can only occur due to an exhaustion of memory. If the user can exhaust memory, they are already privileged. Further, it should be practically impossible to construct an attack which can target the memory exhaustion to occur at exactly this place",2021-12-17 20:15:00,,2023-11-07 03:38:00,2024-03-19 15:29:21.263854,3.1,1.6,3.6,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H,NETWORK,HIGH,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.3,MEDIUM,True,numpy,Direct,numpy,,,False,"[1.0,1.19.0]",CWE-476,weakness,NULL Pointer Dereference,Base,Simple,Stable,,,Medium,Automated Dynamic Analysis (DM-2); Automated Static Analysis (DM-14); Manual Dynamic Analysis (DM-12),"DoS: Crash, Exit, or Restart (A.); Execute Unauthorized Code or Commands-Read Memory-Modify Memory (C.I.A.)",['CVE-2021-41495'],4980.0,5494,-514.0,2020-07-21 21:14:22,1.19.0,False
68399,CVE-2021-41496,"Buffer overflow in the array_from_pyobj function of fortranobject.c in NumPy < 1.19, which allows attackers to conduct a Denial of Service attacks by carefully constructing an array with negative values. NOTE: The vendor does not agree this is a vulnerability; the negative dimensions can only be created by an already privileged user (or internally)",2021-12-17 20:15:00,,2023-11-07 03:38:00,2024-03-19 15:29:21.282297,3.1,1.8,3.6,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.5,MEDIUM,True,numpy,Direct,numpy,,,False,"[1.0,1.19.0)",CWE-120,weakness,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Base,Simple,Incomplete,,,High,Automated Dynamic Analysis (DM-2); Automated Static Analysis (DM-1); Manual Analysis (DM-9),"Modify Memory-DoS: Crash, Exit, or Restart-DoS: Resource Consumption (CPU) (A.); Modify Memory-Execute Unauthorized Code or Commands (C.I.A.)","['CVE-2021-33430', 'CVE-2021-41496']",4949.0,5494,-545.0,2020-06-20 20:37:45,1.19.0,True
103476,CVE-2019-6446,"An issue was discovered in NumPy 1.16.0 and earlier. It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call. NOTE: third parties dispute this issue because it is  a behavior that might have legitimate applications in (for example)  loading serialized Python object arrays from trusted and authenticated  sources",2019-01-16 05:29:00,,2023-11-07 03:13:00,2024-03-19 16:31:44.403675,3.0,3.9,5.9,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,9.8,CRITICAL,True,numpy,Direct,numpy,,,False,"[1.0,1.16.0]",CWE-502,weakness,Deserialization of Untrusted Data,Base,Simple,Draft,,"{'Background_Detail': 'Serialization and deserialization refer to the process of taking program-internal object-related data, packaging it in a way that allows the data to be externally stored or transferred (""serialization""), then extracting the serialized data to reconstruct the original object (""deserialization"").'}",Medium,Automated Static Analysis (DM-14),DoS: Resource Consumption (CPU) (A.); Modify Application Data-Unexpected State (I.); Varies by Context (.),['CVE-2019-6446'],4443.0,4428,15.0,2019-01-31 23:34:59,1.16.0,False
125661,CVE-2017-12852,"The numpy.pad function in Numpy 1.13.1 and older versions is missing input validation. An empty list or ndarray will stick into an infinite loop, which can allow attackers to cause a DoS attack.",2017-08-15 16:29:00,,2019-10-03 00:03:00,2024-03-19 16:40:56.366287,3.0,3.9,3.6,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,7.5,HIGH,True,numpy,Direct,numpy,,,False,"[1.0,1.13.1]",CWE-835,weakness,Loop with Unreachable Exit Condition ('Infinite Loop'),Base,Simple,Incomplete,,,,,DoS: Resource Consumption (CPU)-DoS: Resource Consumption (Memory)-DoS: Amplification (A.),['CVE-2017-12852'],3952.0,3909,43.0,2017-09-27 16:38:24,1.13.1,False
155721,CVE-2014-1858,__init__.py in f2py in NumPy before 1.8.1 allows local users to write to arbitrary files via a symlink attack on a temporary file.,2018-01-08 19:29:00,,2018-01-30 14:44:00,2024-03-19 17:52:34.103046,3.0,1.8,3.6,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE,5.5,MEDIUM,True,numpy,Direct,numpy,,,False,"[1.0,1.8.1)",CWE-20,weakness,Improper Input Validation,Class,Simple,Stable,,,High,Automated Static Analysis (DM-3); Fuzzing (DM-5); Manual Static Analysis (DM-4),"DoS: Crash, Exit, or Restart-DoS: Resource Consumption (CPU)-DoS: Resource Consumption (Memory) (A.); Modify Memory-Execute Unauthorized Code or Commands (C.I.A.); Read Memory-Read Files or Directories (C.)",['CVE-2014-1858'],2670.0,4055,-1385.0,2014-03-25 23:19:20,1.8.1,True
155722,CVE-2014-1859,"(1) core/tests/test_memmap.py, (2) core/tests/test_multiarray.py, (3) f2py/f2py2e.py, and (4) lib/tests/test_io.py in NumPy before 1.8.1 allow local users to write to arbitrary files via a symlink attack on a temporary file.",2018-01-08 19:29:00,,2019-04-22 17:48:00,2024-03-19 17:52:34.120223,3.0,1.8,3.6,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE,5.5,MEDIUM,True,numpy,Direct,numpy,,,False,"[1.0,1.8.0],[1.8.1,1.8.2)",CWE-59,weakness,Improper Link Resolution Before File Access ('Link Following'),Base,Simple,Draft,,{'Background_Detail': 'Soft links are a UNIX term that is synonymous with simple shortcuts on Windows-based platforms.'},Medium,,Execute Unauthorized Code or Commands (.); Read Files or Directories-Modify Files or Directories-Bypass Protection Mechanism (C.I.),['CVE-2014-1859'],2670.0,4055,-1385.0,2014-03-25 23:19:20,1.8.0,False
8263,CVE-2023-25658,"TensorFlow is an open source platform for machine learning. Prior to versions 2.12.0 and 2.11.1, an out of bounds read is in GRUBlockCellGrad. A fix is included in TensorFlow 2.12.0 and 2.11.1.
",2023-03-25 00:15:00,,2023-11-07 04:09:00,2024-03-19 14:55:36.826448,3.1,3.9,3.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,7.5,HIGH,True,tensorflow,Direct,tensorflow,,,False,"[0.11.0,2.12.0)",CWE-125,weakness,Out-of-bounds Read,Base,Simple,Draft,,,,Automated Static Analysis (DM-14); Fuzzing (DM-13),Bypass Protection Mechanism (C.); Read Memory (C.),"['CVE-2018-21233', 'CVE-2020-15196', 'CVE-2020-15208', 'CVE-2020-15211', 'CVE-2020-15265', 'CVE-2020-26267', 'CVE-2020-26269', 'CVE-2020-26271', 'CVE-2021-29532', 'CVE-2021-29547', 'CVE-2021-29551', 'CVE-2021-29553', 'CVE-2021-29559', 'CVE-2021-29569', 'CVE-2021-29570', 'CVE-2021-29582', 'CVE-2021-29583', 'CVE-2021-29590', 'CVE-2021-29606', 'CVE-2021-29613', 'CVE-2021-37635', 'CVE-2021-37639', 'CVE-2021-37641', 'CVE-2021-37654', 'CVE-2021-37655', 'CVE-2021-37659', 'CVE-2021-37664', 'CVE-2021-37670', 'CVE-2021-37672', 'CVE-2021-37685', 'CVE-2021-37687', 'CVE-2021-41205', 'CVE-2021-41210', 'CVE-2021-41211', 'CVE-2021-41212', 'CVE-2021-41219', 'CVE-2021-41223', 'CVE-2021-41224', 'CVE-2021-41226', 'CVE-2021-41227', 'CVE-2022-21726', 'CVE-2022-21728', 'CVE-2022-21730', 'CVE-2022-23560', 'CVE-2022-23574', 'CVE-2022-23592', 'CVE-2022-23594', 'CVE-2022-35937', 'CVE-2022-35938', 'CVE-2022-41880', 'CVE-2022-41883', 'CVE-2022-41895', 'CVE-2022-41897', 'CVE-2022-41900', 'CVE-2022-41902', 'CVE-2022-41910', 'CVE-2023-25658', 'CVE-2023-25659', 'CVE-2023-25668']",2314.0,2316,-3.0,2023-03-22 21:45:56,2.12.0,True
8264,CVE-2023-25659,"TensorFlow is an open source platform for machine learning. Prior to versions 2.12.0 and 2.11.1, if the parameter `indices` for `DynamicStitch` does not match the shape of the parameter `data`, it can trigger an stack OOB read. A fix is included in TensorFlow version 2.12.0 and version 2.11.1.
",2023-03-25 00:15:00,,2023-11-07 04:09:00,2024-03-19 14:55:36.842896,3.1,3.9,3.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,7.5,HIGH,True,tensorflow,Direct,tensorflow,,,False,"[0.11.0,2.12.0)",CWE-125,weakness,Out-of-bounds Read,Base,Simple,Draft,,,,Automated Static Analysis (DM-14); Fuzzing (DM-13),Bypass Protection Mechanism (C.); Read Memory (C.),"['CVE-2018-21233', 'CVE-2020-15196', 'CVE-2020-15208', 'CVE-2020-15211', 'CVE-2020-15265', 'CVE-2020-26267', 'CVE-2020-26269', 'CVE-2020-26271', 'CVE-2021-29532', 'CVE-2021-29547', 'CVE-2021-29551', 'CVE-2021-29553', 'CVE-2021-29559', 'CVE-2021-29569', 'CVE-2021-29570', 'CVE-2021-29582', 'CVE-2021-29583', 'CVE-2021-29590', 'CVE-2021-29606', 'CVE-2021-29613', 'CVE-2021-37635', 'CVE-2021-37639', 'CVE-2021-37641', 'CVE-2021-37654', 'CVE-2021-37655', 'CVE-2021-37659', 'CVE-2021-37664', 'CVE-2021-37670', 'CVE-2021-37672', 'CVE-2021-37685', 'CVE-2021-37687', 'CVE-2021-41205', 'CVE-2021-41210', 'CVE-2021-41211', 'CVE-2021-41212', 'CVE-2021-41219', 'CVE-2021-41223', 'CVE-2021-41224', 'CVE-2021-41226', 'CVE-2021-41227', 'CVE-2022-21726', 'CVE-2022-21728', 'CVE-2022-21730', 'CVE-2022-23560', 'CVE-2022-23574', 'CVE-2022-23592', 'CVE-2022-23594', 'CVE-2022-35937', 'CVE-2022-35938', 'CVE-2022-41880', 'CVE-2022-41883', 'CVE-2022-41895', 'CVE-2022-41897', 'CVE-2022-41900', 'CVE-2022-41902', 'CVE-2022-41910', 'CVE-2023-25658', 'CVE-2023-25659', 'CVE-2023-25668']",2314.0,2316,-3.0,2023-03-22 21:45:56,2.12.0,True
