id,report,description,true_positive,verified,package,module,filename,score,confidence,severity,more_info,test_id,test_name,test_category,code,lines,cwe_id,major,minor,nloc_total,project,project_version,source,release,release_version,release_requirements,inherited_from,severity_score,is_test,project_package,confidence_score
187508,1379,"Try, Except, Pass detected.",True,True,apps,config,/Users/zakariasabbagh/Documents/GitHub/private/securipy/repositories/django/django/apps/config.py,2,high,low,https://bandit.readthedocs.io/en/1.7.7/plugins/b110_try_except_pass.html,B110,try_except_pass,B1,"111             app_module = import_module(entry)
112         except Exception:
113             pass
114         else:
","112, 113",CWE-703,5,0,110987,django,5.0.3,Direct,django,5.0.3,,,0,False,django.apps,2
187509,1379,"Try, Except, Pass detected.",True,True,apps,config,/Users/zakariasabbagh/Documents/GitHub/private/securipy/repositories/django/django/apps/config.py,2,high,low,https://bandit.readthedocs.io/en/1.7.7/plugins/b110_try_except_pass.html,B110,try_except_pass,B1,"162                 app_config_class = import_string(entry)
163             except Exception:
164                 pass
165         # If both import_module and import_string failed, it means that entry
","163, 164",CWE-703,5,0,110987,django,5.0.3,Direct,django,5.0.3,,,0,False,django.apps,2
187510,1379,Possible hardcoded password: '',False,True,conf,global_settings,/Users/zakariasabbagh/Documents/GitHub/private/securipy/repositories/django/django/conf/global_settings.py,1,medium,low,https://bandit.readthedocs.io/en/1.7.7/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string,B1,"203 EMAIL_HOST_USER = """"
204 EMAIL_HOST_PASSWORD = """"
205 EMAIL_USE_TLS = False
",204,CWE-259,5,0,110987,django,5.0.3,Direct,django,5.0.3,,,0,False,django.conf,1
187511,1379,Possible hardcoded password: '',False,True,conf,global_settings,/Users/zakariasabbagh/Documents/GitHub/private/securipy/repositories/django/django/conf/global_settings.py,1,medium,low,https://bandit.readthedocs.io/en/1.7.7/plugins/b105_hardcoded_password_string.html,B105,hardcoded_password_string,B1,"269 # loudly.
270 SECRET_KEY = """"
271 
",270,CWE-259,5,0,110987,django,5.0.3,Direct,django,5.0.3,,,0,False,django.conf,1
187512,1379,Potential XSS on mark_safe function.,True,True,contrib.admin,helpers,/Users/zakariasabbagh/Documents/GitHub/private/securipy/repositories/django/django/contrib/admin/helpers.py,3,high,medium,https://bandit.readthedocs.io/en/1.7.7/plugins/b703_django_mark_safe.html,B703,django_mark_safe,B7,"155     def errors(self):
156         return mark_safe(
157             ""\n"".join(
158                 self.form[f].errors.as_ul()
159                 for f in self.fields
160                 if f not in self.readonly_fields
161             ).strip(""\n"")
162         )
163 
","156, 157, 158, 159, 160, 161, 162",CWE-80,5,0,110987,django,5.0.3,Direct,django,5.0.3,,,1,False,django.contrib.admin,2
187513,1379,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,True,True,contrib.admin,helpers,/Users/zakariasabbagh/Documents/GitHub/private/securipy/repositories/django/django/contrib/admin/helpers.py,3,high,medium,https://bandit.readthedocs.io/en/1.7.7/blacklists/blacklist_calls.html#b308-mark-safe,B308,blacklist,B3,"155     def errors(self):
156         return mark_safe(
157             ""\n"".join(
158                 self.form[f].errors.as_ul()
159                 for f in self.fields
160                 if f not in self.readonly_fields
161             ).strip(""\n"")
162         )
163 
","156, 157, 158, 159, 160, 161, 162",CWE-79,5,0,110987,django,5.0.3,Direct,django,5.0.3,,,1,False,django.contrib.admin,2
187514,1379,Potential XSS on mark_safe function.,,False,contrib.admin,helpers,/Users/zakariasabbagh/Documents/GitHub/private/securipy/repositories/django/django/contrib/admin/helpers.py,3,high,medium,https://bandit.readthedocs.io/en/1.7.7/plugins/b703_django_mark_safe.html,B703,django_mark_safe,B7,"185         return self.field.label_tag(
186             contents=mark_safe(contents),
187             attrs=attrs,
",186,CWE-80,5,0,110987,django,5.0.3,Direct,django,5.0.3,,,1,False,django.contrib.admin,2
187515,1379,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,,False,contrib.admin,helpers,/Users/zakariasabbagh/Documents/GitHub/private/securipy/repositories/django/django/contrib/admin/helpers.py,3,high,medium,https://bandit.readthedocs.io/en/1.7.7/blacklists/blacklist_calls.html#b308-mark-safe,B308,blacklist,B3,"185         return self.field.label_tag(
186             contents=mark_safe(contents),
187             attrs=attrs,
",186,CWE-79,5,0,110987,django,5.0.3,Direct,django,5.0.3,,,1,False,django.contrib.admin,2
187516,1379,Potential XSS on mark_safe function.,,False,contrib.admin,helpers,/Users/zakariasabbagh/Documents/GitHub/private/securipy/repositories/django/django/contrib/admin/helpers.py,3,high,medium,https://bandit.readthedocs.io/en/1.7.7/plugins/b703_django_mark_safe.html,B703,django_mark_safe,B7,"191     def errors(self):
192         return mark_safe(self.field.errors.as_ul())
193 
",192,CWE-80,5,0,110987,django,5.0.3,Direct,django,5.0.3,,,1,False,django.contrib.admin,2
187517,1379,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,,False,contrib.admin,helpers,/Users/zakariasabbagh/Documents/GitHub/private/securipy/repositories/django/django/contrib/admin/helpers.py,3,high,medium,https://bandit.readthedocs.io/en/1.7.7/blacklists/blacklist_calls.html#b308-mark-safe,B308,blacklist,B3,"191     def errors(self):
192         return mark_safe(self.field.errors.as_ul())
193 
",192,CWE-79,5,0,110987,django,5.0.3,Direct,django,5.0.3,,,1,False,django.contrib.admin,2
